с,В
12.0672,0.0102
12.0778,0.0000
12.0885,0.0102
12.0992,0.0000
12.1100,0.0102
12.1207,0.0000
12.1316,0.0102
12.1423,0.0000
12.1529,0.0102
12.1636,0.0000
12.1743,0.0051
12.1849,0.0000
12.1955,0.0000
12.2062,0.0102
12.2168,0.0051
12.2275,0.0051
12.2381,0.0000
12.2488,0.0152
12.2595,0.0000
12.2702,0.0102
12.2808,0.0000
12.2915,0.0051
12.3021,0.0000
12.3128,0.0102
12.3234,0.0000
12.3341,0.0102
12.3447,0.0000
12.3554,0.0051
12.3661,0.0051
12.3767,0.0000
12.3874,0.0102
12.3980,0.0000
12.4087,0.0102
12.4194,0.0000
12.4300,0.0102
12.4407,0.0000
12.4514,0.0102
12.4621,0.0000
12.4727,0.0102
12.4834,0.0000
12.4940,0.0051
12.5047,0.0051
12.5154,0.0000
12.5261,0.0102
12.5369,0.0000
12.5477,0.0102
12.5585,0.0000
12.5693,0.0152
12.5800,0.0000
12.5908,0.0051
12.6016,0.0000
12.6124,0.0102
12.6231,0.0000
12.6339,0.0102
12.6446,0.0051
12.6554,0.0051
12.6661,0.0102
12.6768,0.0000
12.6874,0.0152
12.6981,0.0000
12.7088,0.0102
12.7195,0.0000
12.7302,0.0152
12.7409,0.0000
12.7517,0.0152
12.7624,0.0000
12.7731,0.0102
12.7838,0.0000
12.7945,0.0102
12.8051,0.0051
12.8158,0.0000
12.8265,0.0051
12.8372,0.0000
12.8479,0.0102
12.8586,0.0000
12.8693,0.0152
12.8801,0.0000
12.8907,0.0102
12.9014,0.0000
12.9121,0.0102
12.9227,0.0000
12.9334,0.0051
12.9443,0.0051
12.9550,0.0051
12.9657,0.0051
12.9764,0.0000
12.9870,0.0102
12.9977,0.0000
13.0084,0.0102
13.0190,0.0000
13.0298,0.0102
13.0404,0.0000
13.0510,0.0152
13.0618,0.0000
13.0724,0.0102
13.0830,0.0000
13.0938,0.0051
13.1044,0.0051
13.1151,0.0051
13.1258,0.0051
13.1366,0.0000
13.1473,0.0102
13.1580,0.0000
13.1688,0.0102
13.1797,0.0000
13.1903,0.0102
13.2009,0.0000
13.2116,0.0102
13.2222,0.0000
13.2328,0.0102
13.2436,0.0000
13.2542,0.0102
13.2649,0.0051
13.2756,0.0000
13.2862,0.0102
13.2969,0.0000
13.3075,0.0102
13.3182,0.0000
13.3289,0.0102
13.3395,0.0000
13.3501,0.0051
13.3608,0.0000
13.3715,0.0102
13.3821,0.0000
13.3928,0.0051
13.4035,0.0000
13.4143,0.0051
13.4249,0.0051
13.4357,0.0000
13.4465,0.0102
13.4571,0.0000
13.4678,0.0051
13.4785,0.0000
13.4891,0.0152
13.4998,0.0000
13.5106,0.0102
13.5213,0.0000
13.5321,0.0102
13.5428,0.0000
13.5535,0.0102
13.5643,0.0000
13.5750,0.0000
13.5858,0.0102
13.5965,0.0000
13.6072,0.0102
13.6179,0.0000
13.6287,0.0152
13.6395,0.0000
13.6503,0.0102
13.6613,0.0000
13.6722,0.0102
13.6830,0.0000
13.6936,0.0051
13.7043,0.0051
13.7149,0.0000
13.7255,0.0051
13.7361,0.0051
13.7468,0.0102
13.7574,0.0000
13.7681,0.0102
13.7787,0.0000
13.7894,0.0102
13.8000,0.0000
13.8106,0.0102
13.8213,0.0000
13.8320,0.0102
13.8426,0.0000
13.8533,0.0051
13.8644,0.0051
13.8752,0.0000
13.8860,0.0102
13.8970,0.0000
13.9079,0.0102
13.9196,0.0000
13.9306,0.0102
13.9414,0.0000
13.9522,0.0152
13.9631,0.0051
13.9739,0.0000
13.9846,0.0051
13.9953,0.0051
14.0060,0.0102
14.0167,0.0000
14.0273,0.0102
14.0380,0.0000
14.0486,0.0102
14.0595,0.0000
14.0706,0.0102
14.0815,0.0000
14.0922,0.0102
14.1029,0.0000
14.1136,0.0051
14.1243,0.0051
14.1350,0.0000
14.1456,0.0051
14.1564,0.0000
14.1671,0.0102
14.1778,0.0000
14.1885,0.0152
14.1992,0.0000
14.2099,0.0102
14.2206,0.0000
14.2313,0.0051
14.2420,0.0000
14.2527,0.0102
14.2634,0.0051
14.2740,0.0051
14.2847,0.0051
14.2953,0.0000
14.3059,0.0102
14.3166,0.0000
14.3272,0.0152
14.3378,0.0000
14.3485,0.0102
14.3591,0.0000
14.3698,0.0051
14.3804,0.0000
14.3910,0.0102
14.4017,0.0000
14.4123,0.0102
14.4229,0.0000
14.4336,0.0051
14.4442,0.0102
14.4548,0.0000
14.4654,0.0102
14.4761,0.0000
14.4867,0.0152
14.4973,0.0000
14.5080,0.0102
14.5186,0.0000
14.5292,0.0102
14.5398,0.0000
14.5505,0.0102
14.5611,0.0000
14.5717,0.0152
14.5824,0.0000
14.5930,0.0000
14.6036,0.0051
14.6142,0.0000
14.6249,0.0051
14.6355,0.0000
14.6461,0.0051
14.6567,0.0000
14.6673,0.0102
14.6780,0.0000
14.6886,0.0152
14.6993,0.0000
14.7100,0.0102
14.7206,0.0000
14.7312,0.0102
14.7419,0.0000
14.7525,0.0051
14.7631,0.0051
14.7737,0.0051
14.7844,0.0051
14.7950,0.0051
14.8057,0.0102
14.8163,0.0000
14.8270,0.0152
14.8377,0.0000
14.8483,0.0102
14.8590,0.0000
14.8696,0.0051
14.8803,0.0000
14.8910,0.0102
14.9017,0.0000
