с,В
11.3234,0.0000
11.3341,0.0102
11.3449,0.0000
11.3556,0.0051
11.3663,0.0051
11.3770,0.0000
11.3877,0.0102
11.3984,0.0000
11.4091,0.0102
11.4197,0.0000
11.4304,0.0102
11.4411,0.0000
11.4518,0.0102
11.4624,0.0000
11.4731,0.0102
11.4837,0.0000
11.4944,0.0102
11.5050,0.0051
11.5157,0.0051
11.5264,0.0051
11.5371,0.0000
11.5477,0.0102
11.5584,0.0000
11.5691,0.0051
11.5797,0.0000
11.5904,0.0152
11.6012,0.0000
11.6119,0.0102
11.6227,0.0000
11.6334,0.0102
11.6441,0.0000
11.6547,0.0102
11.6654,0.0051
11.6760,0.0051
11.6866,0.0051
11.6972,0.0000
11.7079,0.0102
11.7185,0.0000
11.7292,0.0152
11.7399,0.0000
11.7505,0.0102
11.7612,0.0000
11.7719,0.0102
11.7825,0.0000
11.7932,0.0152
11.8038,0.0051
11.8145,0.0102
11.8252,0.0051
11.8359,0.0051
11.8465,0.0051
11.8572,0.0000
11.8678,0.0102
11.8785,0.0000
11.8891,0.0152
11.8998,0.0000
11.9105,0.0152
11.9211,0.0000
11.9318,0.0102
11.9426,0.0000
11.9534,0.0102
11.9641,0.0000
11.9748,0.0051
11.9855,0.0051
11.9962,0.0000
12.0069,0.0051
12.0176,0.0000
12.0282,0.0102
12.0389,0.0000
12.0496,0.0102
12.0602,0.0000
12.0709,0.0102
12.0815,0.0000
12.0922,0.0102
12.1029,0.0000
12.1137,0.0102
12.1244,0.0000
12.1353,0.0051
12.1460,0.0051
12.1566,0.0051
12.1672,0.0051
12.1779,0.0000
12.1885,0.0102
12.1992,0.0000
12.2098,0.0051
12.2205,0.0000
12.2312,0.0152
12.2419,0.0000
12.2526,0.0152
12.2633,0.0000
12.2739,0.0102
12.2846,0.0000
12.2953,0.0102
12.3060,0.0051
12.3167,0.0051
12.3274,0.0051
12.3380,0.0000
12.3487,0.0051
12.3594,0.0000
12.3700,0.0102
12.3807,0.0000
12.3914,0.0102
12.4021,0.0000
12.4127,0.0102
12.4234,0.0000
12.4341,0.0102
12.4448,0.0000
12.4555,0.0051
12.4661,0.0051
12.4768,0.0051
12.4875,0.0051
12.4981,0.0000
12.5089,0.0102
12.5195,0.0000
12.5302,0.0102
12.5409,0.0000
12.5517,0.0051
12.5623,0.0000
12.5730,0.0102
12.5837,0.0000
12.5944,0.0102
12.6051,0.0000
12.6158,0.0102
12.6267,0.0051
12.6374,0.0051
12.6482,0.0051
12.6589,0.0000
12.6695,0.0102
12.6801,0.0000
12.6908,0.0102
12.7014,0.0000
12.7120,0.0152
12.7227,0.0000
12.7334,0.0102
12.7440,0.0000
12.7547,0.0152
12.7654,0.0000
12.7760,0.0102
12.7867,0.0051
12.7974,0.0051
12.8080,0.0051
12.8187,0.0000
12.8294,0.0102
12.8400,0.0000
12.8507,0.0102
12.8613,0.0000
12.8720,0.0102
12.8826,0.0000
12.8932,0.0102
12.9039,0.0000
12.9145,0.0102
12.9251,0.0000
12.9358,0.0102
12.9464,0.0051
12.9571,0.0051
12.9678,0.0102
12.9784,0.0000
12.9890,0.0102
12.9996,0.0000
13.0103,0.0102
13.0209,0.0000
13.0315,0.0102
13.0422,0.0000
13.0528,0.0102
13.0634,0.0000
13.0741,0.0102
13.0847,0.0000
13.0955,0.0051
13.1062,0.0000
13.1171,0.0051
13.1277,0.0102
13.1384,0.0051
13.1492,0.0102
13.1599,0.0051
13.1706,0.0102
13.1813,0.0000
13.1919,0.0152
13.2025,0.0000
13.2131,0.0102
13.2238,0.0000
13.2344,0.0102
13.2450,0.0000
13.2557,0.0102
13.2663,0.0000
13.2770,0.0051
13.2876,0.0051
13.2982,0.0000
13.3089,0.0051
13.3198,0.0000
13.3304,0.0102
13.3411,0.0000
13.3517,0.0102
13.3624,0.0000
13.3731,0.0102
13.3837,0.0000
13.3944,0.0102
13.4050,0.0000
13.4157,0.0102
13.4263,0.0000
13.4370,0.0051
13.4476,0.0051
13.4582,0.0000
13.4689,0.0102
13.4795,0.0000
13.4902,0.0102
13.5008,0.0000
13.5115,0.0102
13.5221,0.0000
13.5327,0.0152
13.5434,0.0000
13.5540,0.0152
13.5647,0.0000
13.5754,0.0102
13.5860,0.0000
13.5968,0.0051
13.6075,0.0051
13.6182,0.0051
13.6289,0.0102
13.6396,0.0000
13.6504,0.0102
13.6611,0.0000
13.6717,0.0152
13.6824,0.0000
13.6930,0.0152
13.7037,0.0000
13.7144,0.0102
13.7250,0.0000
13.7356,0.0051
13.7463,0.0000
13.7570,0.0102
13.7677,0.0000
13.7784,0.0000
13.7890,0.0051
13.7996,0.0000
13.8102,0.0051
13.8209,0.0000
13.8315,0.0152
13.8422,0.0000
13.8528,0.0102
13.8634,0.0000
13.8741,0.0102
13.8847,0.0000
13.8953,0.0051
13.9060,0.0000
13.9166,0.0102
13.9272,0.0000
13.9379,0.0051
13.9485,0.0051
13.9591,0.0051
13.9698,0.0102
13.9804,0.0000
13.9911,0.0102
14.0017,0.0000
14.0124,0.0051
14.0230,0.0000
14.0336,0.0102
14.0443,0.0000
14.0549,0.0051
14.0655,0.0000
14.0762,0.0102
14.0869,0.0051
14.0977,0.0051
14.1084,0.0000
14.1191,0.0051
14.1298,0.0051
14.1405,0.0051
14.1511,0.0102
14.1617,0.0000
14.1724,0.0051
14.1830,0.0000
14.1936,0.0102
14.2043,0.0000
14.2149,0.0102
14.2256,0.0000
14.2362,0.0152
14.2468,0.0051
14.2575,0.0051
14.2681,0.0000
14.2788,0.0000
14.2894,0.0051
14.3000,0.0000
14.3107,0.0102
14.3214,0.0000
14.3320,0.0102
