с,В
9.1762,0.0102
9.1869,0.0000
9.1976,0.0152
9.2085,0.0000
9.2193,0.0102
9.2300,0.0051
9.2407,0.0051
9.2513,0.0051
9.2620,0.0000
9.2727,0.0051
9.2834,0.0000
9.2941,0.0102
9.3048,0.0000
9.3154,0.0102
9.3261,0.0000
9.3367,0.0051
9.3474,0.0000
9.3581,0.0051
9.3687,0.0000
9.3793,0.0102
9.3900,0.0051
9.4006,0.0051
9.4112,0.0051
9.4218,0.0000
9.4324,0.0102
9.4429,0.0000
9.4535,0.0102
9.4641,0.0000
9.4747,0.0102
9.4853,0.0000
9.4959,0.0102
9.5065,0.0000
9.5171,0.0152
9.5277,0.0000
9.5383,0.0102
9.5489,0.0000
9.5595,0.0051
9.5701,0.0000
9.5807,0.0000
9.5913,0.0051
9.6019,0.0051
9.6125,0.0102
9.6231,0.0000
9.6337,0.0102
9.6443,0.0000
9.6549,0.0102
9.6655,0.0000
9.6761,0.0102
9.6867,0.0000
9.6973,0.0102
9.7079,0.0000
9.7185,0.0102
9.7291,0.0000
9.7398,0.0102
9.7504,0.0000
9.7611,0.0051
9.7717,0.0051
9.7823,0.0000
9.7929,0.0102
9.8034,0.0000
9.8140,0.0102
9.8246,0.0000
9.8352,0.0102
9.8459,0.0000
9.8566,0.0152
9.8672,0.0000
9.8778,0.0102
9.8884,0.0000
9.8990,0.0102
9.9096,0.0000
9.9202,0.0102
9.9308,0.0102
9.9414,0.0000
9.9520,0.0102
9.9626,0.0000
9.9732,0.0102
9.9838,0.0000
9.9944,0.0102
10.0050,0.0000
10.0157,0.0102
10.0263,0.0000
10.0370,0.0152
10.0476,0.0000
10.0583,0.0102
10.0689,0.0000
10.0796,0.0102
10.0902,0.0000
10.1009,0.0051
10.1115,0.0051
10.1222,0.0000
10.1329,0.0051
10.1436,0.0000
10.1542,0.0102
10.1649,0.0000
10.1755,0.0152
10.1863,0.0000
10.1970,0.0102
10.2076,0.0000
10.2183,0.0102
10.2289,0.0000
10.2396,0.0102
10.2503,0.0051
10.2609,0.0000
10.2716,0.0051
10.2822,0.0000
10.2929,0.0102
10.3035,0.0000
10.3142,0.0102
10.3249,0.0000
10.3357,0.0102
10.3465,0.0000
10.3573,0.0102
10.3681,0.0000
10.3789,0.0102
10.3895,0.0000
10.4003,0.0102
10.4109,0.0051
10.4216,0.0051
10.4322,0.0051
10.4429,0.0000
10.4535,0.0102
10.4641,0.0000
10.4748,0.0102
10.4854,0.0000
10.4961,0.0102
10.5067,0.0000
10.5173,0.0102
10.5280,0.0000
10.5386,0.0102
10.5493,0.0000
10.5600,0.0051
10.5706,0.0051
10.5813,0.0051
10.5920,0.0051
10.6026,0.0051
10.6133,0.0102
10.6239,0.0000
10.6346,0.0102
10.6453,0.0000
10.6560,0.0102
10.6666,0.0000
10.6773,0.0102
10.6880,0.0000
10.6986,0.0152
10.7093,0.0000
10.7199,0.0102
10.7306,0.0000
10.7413,0.0051
10.7520,0.0051
10.7626,0.0000
10.7733,0.0051
10.7840,0.0000
10.7946,0.0102
10.8053,0.0000
10.8159,0.0152
10.8266,0.0000
10.8373,0.0102
10.8481,0.0000
10.8589,0.0102
10.8698,0.0000
10.8805,0.0102
10.8912,0.0000
10.9019,0.0051
10.9126,0.0102
10.9232,0.0000
10.9340,0.0051
10.9447,0.0000
10.9553,0.0102
10.9660,0.0000
10.9766,0.0152
10.9872,0.0000
10.9979,0.0102
11.0085,0.0000
11.0191,0.0102
11.0298,0.0000
11.0405,0.0051
11.0512,0.0051
11.0618,0.0051
11.0725,0.0102
11.0831,0.0000
11.0938,0.0102
11.1045,0.0000
11.1152,0.0102
11.1258,0.0000
11.1365,0.0102
11.1472,0.0000
11.1578,0.0102
11.1685,0.0000
11.1792,0.0102
11.1898,0.0000
11.2005,0.0102
11.2112,0.0000
11.2218,0.0000
11.2325,0.0051
11.2431,0.0000
11.2538,0.0102
11.2645,0.0000
11.2751,0.0102
11.2858,0.0000
11.2965,0.0152
11.3071,0.0000
11.3178,0.0102
11.3285,0.0000
11.3393,0.0051
11.3500,0.0000
11.3607,0.0051
11.3715,0.0000
11.3821,0.0000
11.3928,0.0102
11.4034,0.0000
11.4141,0.0102
11.4247,0.0000
11.4353,0.0102
11.4460,0.0000
11.4566,0.0152
11.4673,0.0000
11.4780,0.0051
11.4886,0.0000
11.4993,0.0102
11.5103,0.0000
11.5209,0.0051
11.5316,0.0051
11.5503,0.0000
11.5610,0.0102
11.5717,0.0051
11.5823,0.0000
11.5930,0.0051
11.6036,0.0000
11.6143,0.0102
11.6249,0.0000
11.6355,0.0152
11.6462,0.0000
11.6568,0.0102
11.6674,0.0000
11.6780,0.0152
11.6887,0.0000
11.6993,0.0152
11.7099,0.0000
11.7205,0.0051
11.7312,0.0000
11.7418,0.0051
11.7524,0.0051
11.7630,0.0000
11.7737,0.0102
11.7843,0.0000
11.7949,0.0102
11.8056,0.0000
11.8162,0.0102
11.8268,0.0000
11.8375,0.0102
11.8483,0.0000
11.8591,0.0203
11.8698,0.0000
11.8805,0.0102
11.8911,0.0051
11.9017,0.0000
11.9123,0.0051
11.9230,0.0051
11.9336,0.0051
11.9442,0.0000
11.9548,0.0102
11.9655,0.0000
11.9762,0.0102
11.9868,0.0000
11.9974,0.0152
12.0080,0.0000
12.0187,0.0102
12.0293,0.0000
12.0399,0.0152
12.0506,0.0000
12.0612,0.0102
12.0718,0.0051
12.0825,0.0051
12.0931,0.0051
12.1038,0.0000
12.1144,0.0102
12.1250,0.0000
12.1357,0.0102
12.1464,0.0000
12.1571,0.0102
12.1677,0.0000
12.1783,0.0051
12.1890,0.0000
12.1997,0.0102
12.2103,0.0000
12.2209,0.0051
12.2316,0.0051
12.2422,0.0000
12.2528,0.0051
12.2634,0.0000
12.2741,0.0102
12.2847,0.0000
12.2953,0.0102
12.3060,0.0000
12.3166,0.0102
12.3272,0.0000
12.3380,0.0102
12.3487,0.0000
12.3596,0.0102
12.3702,0.0000
12.3809,0.0102
12.3915,0.0051
12.4021,0.0051
12.4128,0.0051
12.4234,0.0000
12.4340,0.0102
12.4446,0.0000
12.4552,0.0102
12.4659,0.0000
12.4765,0.0102
12.4871,0.0000
12.4978,0.0102
12.5084,0.0000
12.5191,0.0102
12.5297,0.0000
12.5403,0.0102
12.5510,0.0000
12.5616,0.0051
12.5722,0.0051
12.5828,0.0000
12.5934,0.0102
12.6041,0.0000
12.6148,0.0102
12.6254,0.0000
12.6360,0.0102
12.6466,0.0000
12.6572,0.0102
12.6678,0.0000
12.6785,0.0102
12.6891,0.0000
12.6997,0.0102
12.7103,0.0000
12.7209,0.0102
12.7316,0.0051
12.7423,0.0051
12.7529,0.0051
12.7636,0.0000
12.7742,0.0102
12.7849,0.0000
12.7955,0.0102
12.8061,0.0000
12.8168,0.0102
12.8274,0.0000
12.8381,0.0102
12.8489,0.0000
12.8597,0.0102
12.8704,0.0000
12.8810,0.0051
12.8917,0.0000
12.9023,0.0051
12.9129,0.0102
12.9235,0.0000
12.9342,0.0102
12.9448,0.0000
12.9554,0.0102
12.9660,0.0000
12.9766,0.0102
12.9873,0.0000
12.9979,0.0102
13.0085,0.0000
13.0191,0.0102
13.0297,0.0000
13.0404,0.0102
13.0510,0.0000
13.0616,0.0051
13.0722,0.0000
13.0829,0.0051
13.0935,0.0102
13.1041,0.0000
13.1147,0.0051
13.1254,0.0000
13.1360,0.0102
13.1466,0.0000
13.1572,0.0051
13.1679,0.0000
13.1785,0.0152
13.1891,0.0000
13.1997,0.0102
13.2108,0.0000
13.2214,0.0051
13.2320,0.0000
13.2426,0.0051
13.2533,0.0051
13.2639,0.0051
13.2745,0.0102
13.2851,0.0000
13.2958,0.0102
13.3064,0.0000
13.3170,0.0102
13.3277,0.0000
13.3384,0.0102
13.3491,0.0000
13.3601,0.0051
13.3707,0.0000
13.3814,0.0051
13.3920,0.0000
13.4026,0.0051
13.4132,0.0102
13.4239,0.0000
13.4347,0.0102
13.4453,0.0000
13.4559,0.0102
13.4665,0.0000
13.4771,0.0102
13.4878,0.0000
13.4984,0.0102
13.5090,0.0000
13.5196,0.0102
13.5303,0.0000
13.5409,0.0051
13.5515,0.0000
13.5622,0.0051
13.5728,0.0051
13.5834,0.0051
13.5940,0.0102
13.6046,0.0000
13.6152,0.0051
13.6258,0.0000
13.6365,0.0102
13.6471,0.0000
13.6577,0.0051
13.6683,0.0000
13.6789,0.0102
13.6895,0.0000
13.7001,0.0152
13.7108,0.0000
13.7214,0.0102
13.7320,0.0000
13.7426,0.0051
13.7532,0.0051
13.7639,0.0000
13.7745,0.0051
13.7851,0.0000
13.7957,0.0102
13.8064,0.0000
13.8170,0.0102
13.8276,0.0000
13.8384,0.0152
13.8495,0.0000
13.8603,0.0152
13.8710,0.0000
13.8816,0.0102
13.8923,0.0000
13.9029,0.0000
13.9135,0.0102
13.9241,0.0000
13.9350,0.0051
13.9457,0.0000
13.9563,0.0102
13.9669,0.0000
13.9775,0.0152
13.9881,0.0051
13.9987,0.0102
14.0093,0.0000
14.0199,0.0102
14.0305,0.0000
14.0411,0.0102
14.0517,0.0051
14.0623,0.0051
14.0729,0.0051
14.0835,0.0000
14.0941,0.0102
14.1047,0.0000
14.1153,0.0102
14.1259,0.0000
14.1365,0.0102
14.1471,0.0000
14.1577,0.0152
14.1683,0.0000
14.1789,0.0102
14.1895,0.0000
14.2001,0.0102
14.2107,0.0000
14.2212,0.0051
14.2319,0.0000
14.2425,0.0051
14.2531,0.0051
14.2637,0.0000
14.2743,0.0102
14.2848,0.0000
14.2954,0.0051
14.3060,0.0000
14.3166,0.0051
14.3272,0.0000
14.3380,0.0102
14.3487,0.0000
14.3594,0.0152
14.3700,0.0000
14.3806,0.0102
14.3912,0.0000
14.4018,0.0102
14.4124,0.0000
14.4230,0.0051
14.4336,0.0000
14.4442,0.0000
14.4548,0.0051
14.4654,0.0000
14.4760,0.0102
14.4866,0.0000
14.4972,0.0102
14.5078,0.0000
14.5184,0.0152
14.5290,0.0000
14.5397,0.0102
14.5503,0.0000
14.5609,0.0102
14.5716,0.0000
14.5822,0.0051
14.5929,0.0051
14.6035,0.0000
14.6142,0.0051
14.6248,0.0000
14.6355,0.0102
14.6461,0.0000
14.6568,0.0102
14.6676,0.0000
14.6782,0.0102
14.6889,0.0000
14.6996,0.0102
14.7102,0.0000
14.7209,0.0102
14.7316,0.0000
14.7422,0.0051
14.7529,0.0051
14.7636,0.0051
14.7743,0.0051
14.7849,0.0000
14.7956,0.0102
14.8062,0.0000
14.8169,0.0102
14.8276,0.0000
14.8383,0.0102
14.8491,0.0000
14.8599,0.0102
14.8707,0.0000
14.8814,0.0102
14.8921,0.0000
