с,В
5.9891,0.0152
5.9998,0.0000
6.0104,0.0102
6.0211,0.0000
6.0318,0.0152
6.0425,0.0000
6.0532,0.0102
6.0639,0.0000
6.0746,0.0051
6.0852,0.0051
6.0959,0.0000
6.1065,0.0102
6.1172,0.0051
6.1278,0.0102
6.1385,0.0000
6.1491,0.0102
6.1598,0.0000
6.1704,0.0051
6.1811,0.0000
6.1918,0.0152
6.2024,0.0000
6.2131,0.0102
6.2238,0.0000
6.2344,0.0102
6.2451,0.0051
6.2558,0.0000
6.2665,0.0051
6.2771,0.0000
6.2878,0.0102
6.2984,0.0000
6.3091,0.0102
6.3199,0.0000
6.3306,0.0102
6.3414,0.0000
6.3522,0.0102
6.3631,0.0000
6.3737,0.0051
6.3844,0.0000
6.3950,0.0000
6.4057,0.0102
6.4163,0.0000
6.4269,0.0102
6.4375,0.0000
6.4482,0.0102
6.4588,0.0000
6.4694,0.0102
6.4801,0.0000
6.4908,0.0102
6.5014,0.0000
6.5121,0.0152
6.5228,0.0000
6.5334,0.0152
6.5441,0.0000
6.5548,0.0051
6.5654,0.0051
6.5761,0.0000
6.5868,0.0102
6.5974,0.0000
6.6081,0.0102
6.6188,0.0000
6.6294,0.0102
6.6402,0.0000
6.6509,0.0102
6.6616,0.0000
6.6723,0.0152
6.6829,0.0000
6.6936,0.0102
6.7042,0.0000
6.7149,0.0051
6.7255,0.0051
6.7362,0.0051
6.7469,0.0051
6.7575,0.0000
6.7682,0.0152
6.7789,0.0000
6.7896,0.0102
6.8003,0.0000
6.8109,0.0102
6.8217,0.0000
6.8325,0.0051
6.8433,0.0000
6.8540,0.0102
6.8647,0.0051
6.8754,0.0051
6.8860,0.0051
6.8967,0.0000
6.9073,0.0051
6.9180,0.0000
6.9286,0.0102
6.9392,0.0000
6.9498,0.0102
6.9605,0.0000
6.9711,0.0102
6.9818,0.0000
6.9925,0.0102
7.0031,0.0000
7.0138,0.0051
7.0245,0.0000
7.0351,0.0051
7.0458,0.0051
7.0565,0.0000
7.0672,0.0102
7.0778,0.0000
7.0885,0.0102
7.0992,0.0000
7.1099,0.0102
7.1206,0.0000
7.1312,0.0102
7.1419,0.0000
7.1526,0.0152
7.1632,0.0000
7.1739,0.0102
7.1845,0.0000
7.1952,0.0051
7.2059,0.0051
7.2166,0.0051
7.2272,0.0102
7.2380,0.0000
7.2488,0.0152
7.2595,0.0000
7.2702,0.0152
7.2809,0.0000
7.2915,0.0102
7.3024,0.0000
7.3130,0.0102
7.3237,0.0000
7.3345,0.0102
7.3453,0.0051
7.3560,0.0051
7.3667,0.0051
7.3774,0.0000
7.3880,0.0102
7.3987,0.0000
7.4093,0.0102
7.4199,0.0000
7.4306,0.0102
7.4412,0.0000
7.4518,0.0152
7.4625,0.0000
7.4731,0.0102
7.4838,0.0000
7.4944,0.0102
7.5051,0.0000
7.5158,0.0051
7.5265,0.0102
7.5371,0.0000
7.5478,0.0051
7.5585,0.0000
7.5691,0.0102
7.5798,0.0000
7.5904,0.0102
7.6011,0.0000
7.6118,0.0102
7.6225,0.0000
7.6331,0.0051
7.6438,0.0000
7.6545,0.0051
7.6651,0.0051
7.6758,0.0051
7.6865,0.0102
7.6971,0.0000
7.7078,0.0102
7.7184,0.0000
7.7291,0.0051
7.7398,0.0000
7.7505,0.0102
7.7611,0.0000
7.7718,0.0152
7.7825,0.0000
7.7931,0.0152
7.8038,0.0000
7.8145,0.0102
7.8252,0.0051
7.8360,0.0051
7.8469,0.0102
7.8576,0.0000
7.8684,0.0102
7.8790,0.0000
7.8897,0.0152
7.9004,0.0000
7.9111,0.0152
7.9219,0.0000
7.9325,0.0102
7.9431,0.0000
7.9537,0.0102
7.9644,0.0051
7.9750,0.0102
7.9856,0.0051
7.9962,0.0051
8.0069,0.0000
8.0175,0.0000
8.0282,0.0152
8.0389,0.0000
8.0495,0.0102
8.0602,0.0000
8.0709,0.0152
8.0815,0.0000
8.0922,0.0102
8.1029,0.0000
8.1135,0.0102
8.1242,0.0000
8.1349,0.0102
8.1455,0.0000
8.1562,0.0000
8.1669,0.0051
8.1775,0.0000
8.1882,0.0102
8.1988,0.0000
8.2095,0.0102
8.2202,0.0000
8.2309,0.0152
8.2416,0.0000
8.2523,0.0152
8.2629,0.0000
8.2736,0.0102
8.2842,0.0000
8.2949,0.0102
8.3055,0.0000
8.3161,0.0000
8.3269,0.0051
8.3377,0.0000
8.3484,0.0102
8.3591,0.0000
8.3697,0.0152
8.3804,0.0000
8.3910,0.0102
8.4017,0.0000
8.4123,0.0152
8.4229,0.0000
8.4336,0.0051
8.4444,0.0000
8.4550,0.0051
8.4657,0.0000
8.4763,0.0000
8.4870,0.0102
8.4977,0.0000
8.5083,0.0152
8.5189,0.0000
8.5296,0.0102
8.5404,0.0000
8.5510,0.0152
8.5617,0.0000
8.5724,0.0152
8.5830,0.0000
8.5937,0.0102
8.6044,0.0000
8.6150,0.0051
8.6257,0.0051
8.6364,0.0000
8.6471,0.0102
8.6577,0.0000
8.6684,0.0102
8.6791,0.0000
8.6897,0.0152
8.7004,0.0000
8.7110,0.0102
8.7217,0.0000
8.7324,0.0152
8.7430,0.0000
8.7537,0.0051
8.7644,0.0000
8.7751,0.0051
8.7857,0.0051
8.7964,0.0051
8.8071,0.0051
8.8177,0.0000
8.8285,0.0102
8.8393,0.0000
8.8502,0.0102
8.8608,0.0000
8.8715,0.0102
8.8822,0.0000
8.8928,0.0102
8.9035,0.0000
8.9141,0.0051
8.9247,0.0000
8.9354,0.0000
8.9460,0.0051
8.9567,0.0000
8.9674,0.0102
8.9781,0.0000
8.9887,0.0152
8.9994,0.0000
9.0101,0.0102
9.0207,0.0000
9.0314,0.0051
9.0422,0.0000
9.0528,0.0152
9.0635,0.0000
9.0742,0.0051
9.0850,0.0000
9.0958,0.0051
9.1066,0.0102
9.1174,0.0051
9.1282,0.0102
9.1390,0.0000
9.1498,0.0102
9.1605,0.0000
9.1712,0.0152
9.1818,0.0000
9.1924,0.0102
9.2030,0.0000
9.2136,0.0102
9.2242,0.0000
9.2348,0.0051
9.2454,0.0051
9.2560,0.0051
9.2666,0.0051
9.2772,0.0000
9.2878,0.0051
9.2984,0.0000
9.3090,0.0102
9.3197,0.0000
9.3304,0.0102
9.3411,0.0000
9.3517,0.0102
9.3623,0.0000
9.3729,0.0102
9.3835,0.0000
9.3941,0.0102
9.4047,0.0000
9.4153,0.0051
9.4259,0.0051
9.4366,0.0000
9.4473,0.0051
9.4580,0.0000
9.4687,0.0102
9.4794,0.0000
9.4901,0.0102
9.5009,0.0000
9.5115,0.0152
9.5223,0.0000
9.5329,0.0102
9.5436,0.0000
9.5542,0.0051
9.5649,0.0051
9.5755,0.0051
9.5861,0.0102
9.5968,0.0000
9.6075,0.0152
9.6182,0.0000
9.6289,0.0152
9.6396,0.0000
9.6503,0.0102
9.6610,0.0000
9.6718,0.0051
9.6825,0.0000
9.6931,0.0152
9.7038,0.0000
9.7145,0.0051
9.7252,0.0051
9.7360,0.0051
9.7467,0.0051
9.7573,0.0000
9.7681,0.0102
9.7787,0.0000
9.7894,0.0051
9.8001,0.0000
9.8108,0.0102
9.8215,0.0000
9.8322,0.0102
9.8429,0.0000
9.8537,0.0102
9.8645,0.0051
9.8752,0.0102
9.8859,0.0051
9.8965,0.0000
9.9071,0.0102
9.9178,0.0000
9.9284,0.0152
9.9390,0.0000
9.9496,0.0102
9.9602,0.0000
9.9709,0.0102
9.9815,0.0000
9.9922,0.0102
10.0028,0.0000
10.0135,0.0102
10.0241,0.0000
10.0348,0.0102
10.0454,0.0051
10.0561,0.0051
10.0667,0.0051
10.0774,0.0000
10.0881,0.0102
10.0987,0.0000
10.1094,0.0102
10.1201,0.0000
10.1307,0.0102
10.1414,0.0000
10.1521,0.0102
10.1628,0.0000
10.1736,0.0102
10.1844,0.0000
10.1952,0.0102
10.2059,0.0000
10.2167,0.0051
10.2275,0.0102
10.2383,0.0000
10.2491,0.0102
10.2599,0.0000
10.2706,0.0152
10.2814,0.0000
10.2921,0.0102
10.3028,0.0000
10.3135,0.0102
10.3242,0.0000
10.3349,0.0102
10.3456,0.0051
10.3564,0.0051
10.3671,0.0051
10.3778,0.0000
10.3885,0.0102
10.3992,0.0000
10.4099,0.0102
10.4205,0.0000
10.4312,0.0051
10.4419,0.0000
10.4526,0.0152
10.4633,0.0000
10.4740,0.0102
10.4847,0.0000
10.4954,0.0051
10.5061,0.0051
10.5168,0.0000
10.5275,0.0102
10.5381,0.0000
10.5488,0.0102
10.5595,0.0000
10.5701,0.0102
10.5808,0.0000
10.5914,0.0152
10.6022,0.0000
10.6128,0.0152
10.6235,0.0000
10.6342,0.0051
10.6448,0.0000
10.6555,0.0051
10.6662,0.0051
10.6768,0.0051
10.6875,0.0051
10.6982,0.0000
10.7089,0.0102
10.7196,0.0000
10.7303,0.0102
10.7410,0.0000
10.7517,0.0102
10.7624,0.0000
10.7730,0.0152
10.7837,0.0000
10.7944,0.0102
10.8050,0.0000
10.8158,0.0051
10.8264,0.0102
10.8371,0.0000
10.8480,0.0051
10.8587,0.0000
10.8694,0.0102
10.8801,0.0000
10.8907,0.0102
10.9016,0.0000
10.9123,0.0102
10.9230,0.0000
10.9338,0.0051
10.9445,0.0051
10.9551,0.0051
10.9661,0.0000
10.9768,0.0051
10.9875,0.0102
10.9984,0.0000
11.0091,0.0102
11.0198,0.0000
11.0305,0.0051
11.0411,0.0000
11.0519,0.0102
11.0625,0.0000
11.0732,0.0102
11.0841,0.0000
11.0948,0.0051
11.1055,0.0051
11.1164,0.0000
11.1271,0.0102
11.1379,0.0051
11.1487,0.0102
11.1594,0.0000
11.1702,0.0102
11.1809,0.0000
11.1916,0.0102
11.2024,0.0000
11.2131,0.0152
11.2238,0.0000
11.2347,0.0051
11.2453,0.0000
11.2560,0.0051
11.2669,0.0051
11.2777,0.0000
11.2884,0.0102
11.2994,0.0000
11.3101,0.0152
11.3209,0.0000
11.3317,0.0102
11.3424,0.0000
11.3532,0.0152
11.3638,0.0000
11.3744,0.0102
11.3851,0.0000
11.3969,0.0000
11.4076,0.0051
11.4182,0.0000
11.4289,0.0102
11.4396,0.0000
11.4503,0.0102
11.4609,0.0000
11.4716,0.0102
11.4823,0.0000
11.4930,0.0152
11.5037,0.0000
11.5144,0.0102
11.5251,0.0000
11.5358,0.0051
11.5465,0.0051
11.5572,0.0051
11.5678,0.0102
11.5785,0.0000
11.5892,0.0102
11.5998,0.0000
11.6105,0.0102
11.6212,0.0000
11.6319,0.0152
11.6425,0.0000
11.6532,0.0102
11.6639,0.0000
11.6746,0.0102
11.6854,0.0000
11.6963,0.0051
11.7070,0.0102
11.7177,0.0000
11.7284,0.0102
11.7390,0.0000
11.7497,0.0102
11.7604,0.0000
11.7710,0.0102
11.7817,0.0000
11.7924,0.0051
11.8031,0.0000
11.8138,0.0051
11.8246,0.0000
11.8353,0.0051
11.8461,0.0000
11.8568,0.0051
11.8675,0.0102
11.8782,0.0000
11.8890,0.0102
11.8996,0.0000
11.9103,0.0102
11.9209,0.0000
11.9315,0.0102
11.9422,0.0000
11.9528,0.0102
11.9634,0.0000
11.9741,0.0152
11.9847,0.0000
11.9955,0.0051
12.0061,0.0000
12.0168,0.0000
12.0274,0.0102
12.0382,0.0000
12.0489,0.0102
12.0596,0.0000
12.0703,0.0102
12.0809,0.0000
12.0916,0.0102
12.1022,0.0000
12.1129,0.0102
12.1235,0.0000
12.1342,0.0102
12.1448,0.0000
12.1555,0.0102
12.1661,0.0051
12.1768,0.0051
12.1874,0.0102
12.1982,0.0000
12.2088,0.0102
12.2195,0.0000
12.2302,0.0102
12.2408,0.0000
12.2515,0.0102
12.2621,0.0000
12.2728,0.0102
12.2835,0.0000
12.2941,0.0102
12.3048,0.0000
12.3155,0.0051
12.3263,0.0000
12.3371,0.0000
12.3479,0.0051
12.3586,0.0051
12.3694,0.0102
12.3800,0.0000
12.3907,0.0102
12.4015,0.0000
12.4121,0.0102
12.4228,0.0000
12.4334,0.0152
12.4440,0.0000
12.4547,0.0102
12.4653,0.0203
12.4759,0.0051
12.4866,0.0051
12.4972,0.0000
12.5079,0.0051
12.5186,0.0000
12.5292,0.0102
12.5399,0.0000
12.5505,0.0102
12.5612,0.0000
12.5719,0.0152
12.5825,0.0000
12.5932,0.0102
12.6039,0.0000
12.6146,0.0102
12.6252,0.0000
12.6360,0.0102
12.6468,0.0051
12.6575,0.0000
12.6681,0.0051
12.6788,0.0000
12.6895,0.0102
12.7002,0.0000
12.7110,0.0102
12.7216,0.0000
12.7323,0.0102
12.7430,0.0000
12.7536,0.0102
12.7643,0.0000
12.7749,0.0102
12.7856,0.0000
12.7962,0.0051
12.8069,0.0051
12.8175,0.0051
12.8283,0.0102
12.8391,0.0000
12.8499,0.0102
12.8609,0.0000
12.8719,0.0152
12.8828,0.0000
12.8936,0.0152
12.9044,0.0000
12.9152,0.0051
12.9260,0.0102
12.9368,0.0051
12.9498,0.0102
12.9606,0.0000
12.9713,0.0152
12.9820,0.0000
12.9927,0.0102
13.0033,0.0000
13.0140,0.0102
13.0247,0.0000
13.0355,0.0102
13.0462,0.0051
13.0568,0.0051
13.0674,0.0102
13.0780,0.0000
13.0887,0.0051
13.0993,0.0000
13.1099,0.0102
13.1205,0.0000
13.1312,0.0102
13.1419,0.0000
13.1525,0.0102
13.1633,0.0000
13.1739,0.0102
13.1846,0.0000
13.1953,0.0051
13.2060,0.0000
13.2167,0.0051
13.2273,0.0102
13.2382,0.0000
13.2489,0.0102
13.2595,0.0000
13.2702,0.0102
13.2811,0.0000
13.2918,0.0102
13.3026,0.0000
13.3135,0.0152
13.3243,0.0000
13.3350,0.0051
13.3457,0.0051
13.3564,0.0051
13.3671,0.0051
13.3778,0.0000
13.3885,0.0102
13.3991,0.0000
13.4098,0.0102
13.4205,0.0000
13.4312,0.0102
13.4419,0.0000
13.4526,0.0102
13.4633,0.0000
13.4740,0.0152
13.4847,0.0000
13.4953,0.0102
13.5060,0.0000
13.5167,0.0000
13.5273,0.0102
13.5381,0.0000
13.5487,0.0102
13.5594,0.0000
13.5701,0.0102
13.5807,0.0000
13.5914,0.0102
13.6021,0.0000
13.6127,0.0152
13.6234,0.0000
13.6341,0.0102
13.6448,0.0000
13.6555,0.0051
13.6663,0.0051
13.6770,0.0051
13.6878,0.0051
13.6985,0.0000
13.7092,0.0102
13.7199,0.0000
13.7305,0.0102
13.7411,0.0000
13.7518,0.0102
13.7625,0.0000
13.7731,0.0102
13.7838,0.0000
13.7945,0.0102
13.8051,0.0000
13.8158,0.0102
13.8264,0.0051
13.8372,0.0051
13.8479,0.0051
13.8586,0.0051
13.8693,0.0102
13.8800,0.0000
13.8907,0.0102
13.9014,0.0000
13.9121,0.0152
13.9228,0.0000
13.9335,0.0102
13.9443,0.0000
13.9550,0.0102
13.9657,0.0000
13.9764,0.0051
13.9870,0.0051
13.9977,0.0051
14.0085,0.0102
14.0191,0.0000
14.0299,0.0102
14.0406,0.0000
14.0512,0.0102
14.0619,0.0000
14.0726,0.0102
14.0833,0.0000
14.0940,0.0152
14.1047,0.0000
14.1155,0.0102
14.1262,0.0000
14.1368,0.0051
14.1476,0.0051
14.1582,0.0000
14.1689,0.0102
14.1797,0.0000
14.1904,0.0102
14.2011,0.0000
14.2119,0.0102
14.2225,0.0000
14.2332,0.0102
14.2438,0.0000
14.2544,0.0102
14.2651,0.0000
14.2757,0.0051
14.2864,0.0000
14.2970,0.0051
14.3077,0.0051
14.3185,0.0000
14.3291,0.0102
14.3398,0.0000
14.3504,0.0102
14.3610,0.0000
14.3717,0.0102
14.3823,0.0000
14.3930,0.0102
14.4037,0.0000
14.4143,0.0102
14.4250,0.0000
14.4357,0.0102
14.4464,0.0000
14.4571,0.0000
14.4677,0.0051
14.4792,0.0000
14.4919,0.0152
14.5026,0.0000
14.5134,0.0102
14.5241,0.0000
14.5348,0.0152
14.5454,0.0000
14.5561,0.0102
14.5668,0.0000
14.5775,0.0000
14.5881,0.0051
14.5988,0.0000
14.6095,0.0051
14.6202,0.0000
14.6309,0.0152
14.6416,0.0000
14.6523,0.0102
14.6630,0.0000
14.6737,0.0152
14.6843,0.0000
14.6950,0.0102
14.7057,0.0000
14.7164,0.0051
14.7270,0.0051
14.7377,0.0000
14.7484,0.0051
14.7591,0.0000
14.7698,0.0102
14.7804,0.0000
14.7911,0.0152
14.8018,0.0000
14.8124,0.0051
14.8231,0.0000
14.8338,0.0102
14.8445,0.0000
14.8552,0.0102
14.8658,0.0000
14.8765,0.0051
14.8872,0.0000
14.8979,0.0051
14.9086,0.0152
14.9192,0.0000
